Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Burst Duration: Yan,2.888,0.6454,-2.242,-4.100 to -0.3847
  Interburst Interval: TB,1.150,3.256,2.106,0.2370 to 3.975
  Interburst Interval: Yan,0.8258,3.080,2.254,0.3853 to 4.124
  Intraburst Frequency: TB,27.66,78.03,50.37,48.51 to 52.22
  Intraburst Frequency: Yan,28.35,58.91,30.56,28.70 to 32.41
  Peaks per Burst: TB,70.52,36.84,-33.68,-35.54 to -31.82
  Peaks per Burst: Yan,81.27,37.95,-43.32,-45.18 to -41.46
  Total Cycle Time: TB,3.717,3.728,0.01117,-1.858 to 1.880
  Total Cycle Time: Yan,3.713,3.726,0.01240,-1.857 to 1.882
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.095,4.589,P<0.001,***
  Burst Duration: Yan,-2.242,4.911,P<0.001,***
  Interburst Interval: TB,2.106,4.584,P<0.001,***
  Interburst Interval: Yan,2.254,4.907,P<0.001,***
  Intraburst Frequency: TB,50.37,110.3,P<0.001,***
  Intraburst Frequency: Yan,30.56,66.93,P<0.001,***
  Peaks per Burst: TB,-33.68,73.77,P<0.001,***
  Peaks per Burst: Yan,-43.32,94.88,P<0.001,***
  Total Cycle Time: TB,0.01117,0.02430,P > 0.05,ns
  Total Cycle Time: Yan,0.01240,0.02699,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.8476,-1.719,-3.577 to 0.1380
  Burst Duration: Yan,2.888,1.269,-1.619,-3.476 to 0.2387
  Interburst Interval: TB,1.150,2.876,1.727,-0.1426 to 3.596
  Interburst Interval: Yan,0.8258,2.451,1.625,-0.2440 to 3.494
  Intraburst Frequency: TB,27.66,58.91,31.25,29.39 to 33.11
  Intraburst Frequency: Yan,28.35,37.26,8.911,7.054 to 10.77
  Peaks per Burst: TB,70.52,49.81,-20.70,-22.56 to -18.85
  Peaks per Burst: Yan,81.27,46.99,-34.28,-36.14 to -32.43
  Total Cycle Time: TB,3.717,3.724,0.007091,-1.862 to 1.876
  Total Cycle Time: Yan,3.713,3.720,0.006314,-1.863 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.719,3.766,P<0.01,**
  Burst Duration: Yan,-1.619,3.546,P<0.01,**
  Interburst Interval: TB,1.727,3.758,P<0.01,**
  Interburst Interval: Yan,1.625,3.537,P<0.01,**
  Intraburst Frequency: TB,31.25,68.45,P<0.001,***
  Intraburst Frequency: Yan,8.911,19.52,P<0.001,***
  Peaks per Burst: TB,-20.70,45.35,P<0.001,***
  Peaks per Burst: Yan,-34.28,75.09,P<0.001,***
  Total Cycle Time: TB,0.007091,0.01544,P > 0.05,ns
  Total Cycle Time: Yan,0.006314,0.01374,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,2.567,1.356,-1.211,-3.068 to 0.6469
  Burst Duration: Yan,2.888,1.776,-1.111,-2.969 to 0.7462
  Interburst Interval: TB,1.150,2.367,1.217,-0.6517 to 3.086
  Interburst Interval: Yan,0.8258,1.944,1.118,-0.7510 to 2.987
  Intraburst Frequency: TB,27.66,42.76,15.10,13.24 to 16.96
  Intraburst Frequency: Yan,28.35,30.44,2.092,0.2341 to 3.949
  Peaks per Burst: TB,70.52,57.93,-12.59,-14.45 to -10.74
  Peaks per Burst: Yan,81.27,53.85,-27.42,-29.28 to -25.56
  Total Cycle Time: TB,3.717,3.723,0.006784,-1.862 to 1.876
  Total Cycle Time: Yan,3.713,3.720,0.006660,-1.862 to 1.876
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.211,2.652,P > 0.05,ns
  Burst Duration: Yan,-1.111,2.434,P > 0.05,ns
  Interburst Interval: TB,1.217,2.650,P > 0.05,ns
  Interburst Interval: Yan,1.118,2.434,P > 0.05,ns
  Intraburst Frequency: TB,15.10,33.08,P<0.001,***
  Intraburst Frequency: Yan,2.092,4.581,P<0.001,***
  Peaks per Burst: TB,-12.59,27.58,P<0.001,***
  Peaks per Burst: Yan,-27.42,60.06,P<0.001,***
  Total Cycle Time: TB,0.006784,0.01477,P > 0.05,ns
  Total Cycle Time: Yan,0.006660,0.01450,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.5957,-1.971,-3.582 to -0.3610
  Burst Duration: Yan,2.888,2.089,-0.7988,-2.656 to 1.059
  Interburst Interval: TB,1.150,1.274,0.1245,-1.494 to 1.743
  Interburst Interval: Yan,0.8258,1.632,0.8065,-1.063 to 2.676
  Intraburst Frequency: TB,27.66,55.65,27.99,26.38 to 29.60
  Intraburst Frequency: Yan,28.35,28.91,0.5574,-1.300 to 2.415
  Peaks per Burst: TB,70.52,32.20,-38.32,-39.93 to -36.71
  Peaks per Burst: Yan,81.27,60.23,-21.04,-22.89 to -19.18
  Total Cycle Time: TB,3.717,1.870,-1.846,-3.465 to -0.2277
  Total Cycle Time: Yan,3.713,3.721,0.007744,-1.861 to 1.877
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.971,4.981,P<0.001,***
  Burst Duration: Yan,-0.7988,1.750,P > 0.05,ns
  Interburst Interval: TB,0.1245,0.3129,P > 0.05,ns
  Interburst Interval: Yan,0.8065,1.756,P > 0.05,ns
  Intraburst Frequency: TB,27.99,70.71,P<0.001,***
  Intraburst Frequency: Yan,0.5574,1.221,P > 0.05,ns
  Peaks per Burst: TB,-38.32,96.81,P<0.001,***
  Peaks per Burst: Yan,-21.04,46.08,P<0.001,***
  Total Cycle Time: TB,-1.846,4.641,P<0.001,***
  Total Cycle Time: Yan,0.007744,0.01686,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.3226,-2.244,-4.102 to -0.3869
  Burst Duration: Yan,2.888,0.3442,-2.543,-4.401 to -0.6858
  Interburst Interval: TB,1.150,3.406,2.256,0.3874 to 4.126
  Interburst Interval: Yan,0.8258,3.384,2.559,0.6896 to 4.428
  Intraburst Frequency: TB,27.66,76.47,48.81,46.95 to 50.67
  Intraburst Frequency: Yan,28.35,74.72,46.37,44.51 to 48.23
  Peaks per Burst: TB,70.52,24.73,-45.79,-47.65 to -43.93
  Peaks per Burst: Yan,81.27,25.77,-55.51,-57.36 to -53.65
  Total Cycle Time: TB,3.717,3.729,0.01210,-1.857 to 1.881
  Total Cycle Time: Yan,3.713,3.729,0.01547,-1.854 to 1.885
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.244,4.916,P<0.001,***
  Burst Duration: Yan,-2.543,5.571,P<0.001,***
  Interburst Interval: TB,2.256,4.912,P<0.001,***
  Interburst Interval: Yan,2.559,5.569,P<0.001,***
  Intraburst Frequency: TB,48.81,106.9,P<0.001,***
  Intraburst Frequency: Yan,46.37,101.6,P<0.001,***
  Peaks per Burst: TB,-45.79,100.3,P<0.001,***
  Peaks per Burst: Yan,-55.51,121.6,P<0.001,***
  Total Cycle Time: TB,0.01210,0.02633,P > 0.05,ns
  Total Cycle Time: Yan,0.01547,0.03368,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.3720,-2.195,-4.053 to -0.3375
  Burst Duration: Yan,2.888,0.3965,-2.491,-4.349 to -0.6336
  Interburst Interval: TB,1.150,3.357,2.207,0.3380 to 4.076
  Interburst Interval: Yan,0.8258,3.332,2.506,0.6373 to 4.376
  Intraburst Frequency: TB,27.66,90.60,62.94,61.08 to 64.80
  Intraburst Frequency: Yan,28.35,85.15,56.79,54.94 to 58.65
  Peaks per Burst: TB,70.52,33.74,-36.78,-38.64 to -34.92
  Peaks per Burst: Yan,81.27,33.79,-47.48,-49.34 to -45.62
  Total Cycle Time: TB,3.717,3.729,0.01218,-1.857 to 1.881
  Total Cycle Time: Yan,3.713,3.729,0.01547,-1.854 to 1.885
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.195,4.808,P<0.001,***
  Burst Duration: Yan,-2.491,5.456,P<0.001,***
  Interburst Interval: TB,2.207,4.804,P<0.001,***
  Interburst Interval: Yan,2.506,5.456,P<0.001,***
  Intraburst Frequency: TB,62.94,137.9,P<0.001,***
  Intraburst Frequency: Yan,56.79,124.4,P<0.001,***
  Peaks per Burst: TB,-36.78,80.55,P<0.001,***
  Peaks per Burst: Yan,-47.48,104.0,P<0.001,***
  Total Cycle Time: TB,0.01218,0.02651,P > 0.05,ns
  Total Cycle Time: Yan,0.01547,0.03367,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.4263,-2.141,-3.998 to -0.2832
  Burst Duration: Yan,2.888,0.4546,-2.433,-4.291 to -0.5755
  Interburst Interval: TB,1.150,3.302,2.153,0.2837 to 4.022
  Interburst Interval: Yan,0.8258,3.274,2.448,0.5787 to 4.317
  Intraburst Frequency: TB,27.66,97.89,70.23,68.37 to 72.08
  Intraburst Frequency: Yan,28.35,91.92,63.57,61.71 to 65.42
  Peaks per Burst: TB,70.52,41.75,-28.77,-30.62 to -26.91
  Peaks per Burst: Yan,81.27,41.80,-39.47,-41.33 to -37.61
  Total Cycle Time: TB,3.717,3.729,0.01213,-1.857 to 1.881
  Total Cycle Time: Yan,3.713,3.728,0.01485,-1.854 to 1.884
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.141,4.689,P<0.001,***
  Burst Duration: Yan,-2.433,5.329,P<0.001,***
  Interburst Interval: TB,2.153,4.686,P<0.001,***
  Interburst Interval: Yan,2.448,5.328,P<0.001,***
  Intraburst Frequency: TB,70.23,153.8,P<0.001,***
  Intraburst Frequency: Yan,63.57,139.2,P<0.001,***
  Peaks per Burst: TB,-28.77,63.00,P<0.001,***
  Peaks per Burst: Yan,-39.47,86.45,P<0.001,***
  Total Cycle Time: TB,0.01213,0.02641,P > 0.05,ns
  Total Cycle Time: Yan,0.01485,0.03232,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.5028,-2.064,-3.922 to -0.2067
  Burst Duration: Yan,2.888,0.6621,-2.226,-4.083 to -0.3680
  Interburst Interval: TB,1.150,3.226,2.076,0.2069 to 3.945
  Interburst Interval: Yan,0.8258,3.064,2.238,0.3688 to 4.107
  Intraburst Frequency: TB,27.66,99.97,72.31,70.45 to 74.17
  Intraburst Frequency: Yan,28.35,83.34,54.99,53.13 to 56.85
  Peaks per Burst: TB,70.52,50.23,-20.28,-22.14 to -18.43
  Peaks per Burst: Yan,81.27,55.12,-26.15,-28.01 to -24.29
  Total Cycle Time: TB,3.717,3.728,0.01173,-1.857 to 1.881
  Total Cycle Time: Yan,3.713,3.725,0.01225,-1.857 to 1.881
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.064,4.521,P<0.001,***
  Burst Duration: Yan,-2.226,4.875,P<0.001,***
  Interburst Interval: TB,2.076,4.519,P<0.001,***
  Interburst Interval: Yan,2.238,4.871,P<0.001,***
  Intraburst Frequency: TB,72.31,158.4,P<0.001,***
  Intraburst Frequency: Yan,54.99,120.4,P<0.001,***
  Peaks per Burst: TB,-20.28,44.43,P<0.001,***
  Peaks per Burst: Yan,-26.15,57.27,P<0.001,***
  Total Cycle Time: TB,0.01173,0.02554,P > 0.05,ns
  Total Cycle Time: Yan,0.01225,0.02666,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.6209,-1.946,-3.804 to -0.08867
  Burst Duration: Yan,2.888,0.9662,-1.921,-3.779 to -0.06387
  Interburst Interval: TB,1.150,3.106,1.956,0.08711 to 3.825
  Interburst Interval: Yan,0.8258,2.755,1.929,0.06033 to 3.799
  Intraburst Frequency: TB,27.66,100.9,73.24,71.39 to 75.10
  Intraburst Frequency: Yan,28.35,70.30,41.95,40.09 to 43.81
  Peaks per Burst: TB,70.52,62.67,-7.852,-9.709 to -5.994
  Peaks per Burst: Yan,81.27,67.79,-13.48,-15.34 to -11.62
  Total Cycle Time: TB,3.717,3.727,0.01009,-1.859 to 1.879
  Total Cycle Time: Yan,3.713,3.721,0.008105,-1.861 to 1.877
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.946,4.263,P<0.001,***
  Burst Duration: Yan,-1.921,4.208,P<0.001,***
  Interburst Interval: TB,1.956,4.258,P<0.001,***
  Interburst Interval: Yan,1.929,4.200,P<0.001,***
  Intraburst Frequency: TB,73.24,160.4,P<0.001,***
  Intraburst Frequency: Yan,41.95,91.88,P<0.001,***
  Peaks per Burst: TB,-7.852,17.20,P<0.001,***
  Peaks per Burst: Yan,-13.48,29.53,P<0.001,***
  Total Cycle Time: TB,0.01009,0.02197,P > 0.05,ns
  Total Cycle Time: Yan,0.008105,0.01764,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.4720,0.08607,-1.771 to 1.944
  Burst Duration: Yan,0.3877,0.6454,0.2578,-1.600 to 2.115
  Interburst Interval: TB,3.343,3.256,-0.08709,-1.956 to 1.782
  Interburst Interval: Yan,3.341,3.080,-0.2607,-2.130 to 1.608
  Intraburst Frequency: TB,74.66,78.03,3.370,1.512 to 5.227
  Intraburst Frequency: Yan,74.54,58.91,-15.63,-17.49 to -13.77
  Peaks per Burst: TB,28.83,36.84,8.012,6.155 to 9.870
  Peaks per Burst: Yan,28.90,37.95,9.049,7.192 to 10.91
  Total Cycle Time: TB,3.729,3.728,-0.001018,-1.870 to 1.868
  Total Cycle Time: Yan,3.729,3.726,-0.002985,-1.872 to 1.866
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.08607,0.1885,P > 0.05,ns
  Burst Duration: Yan,0.2578,0.5645,P > 0.05,ns
  Interburst Interval: TB,-0.08709,0.1896,P > 0.05,ns
  Interburst Interval: Yan,-0.2607,0.5675,P > 0.05,ns
  Intraburst Frequency: TB,3.370,7.380,P<0.001,***
  Intraburst Frequency: Yan,-15.63,34.24,P<0.001,***
  Peaks per Burst: TB,8.012,17.55,P<0.001,***
  Peaks per Burst: Yan,9.049,19.82,P<0.001,***
  Total Cycle Time: TB,-0.001018,0.002216,P > 0.05,ns
  Total Cycle Time: Yan,-0.002985,0.006497,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.8476,0.4616,-1.396 to 2.319
  Burst Duration: Yan,0.3877,1.269,0.8811,-0.9765 to 2.739
  Interburst Interval: TB,3.343,2.876,-0.4667,-2.336 to 1.402
  Interburst Interval: Yan,3.341,2.451,-0.8901,-2.759 to 0.9791
  Intraburst Frequency: TB,74.66,58.91,-15.75,-17.60 to -13.89
  Intraburst Frequency: Yan,74.54,37.26,-37.28,-39.13 to -35.42
  Peaks per Burst: TB,28.83,49.81,20.99,19.13 to 22.85
  Peaks per Burst: Yan,28.90,46.99,18.09,16.23 to 19.94
  Total Cycle Time: TB,3.729,3.724,-0.005093,-1.874 to 1.864
  Total Cycle Time: Yan,3.729,3.720,-0.009071,-1.878 to 1.860
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.4616,1.011,P > 0.05,ns
  Burst Duration: Yan,0.8811,1.930,P > 0.05,ns
  Interburst Interval: TB,-0.4667,1.016,P > 0.05,ns
  Interburst Interval: Yan,-0.8901,1.937,P > 0.05,ns
  Intraburst Frequency: TB,-15.75,34.49,P<0.001,***
  Intraburst Frequency: Yan,-37.28,81.65,P<0.001,***
  Peaks per Burst: TB,20.99,45.97,P<0.001,***
  Peaks per Burst: Yan,18.09,39.61,P<0.001,***
  Total Cycle Time: TB,-0.005093,0.01109,P > 0.05,ns
  Total Cycle Time: Yan,-0.009071,0.01975,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,1.356,0.9705,-0.8871 to 2.828
  Burst Duration: Yan,0.3877,1.776,1.389,-0.4689 to 3.246
  Interburst Interval: TB,3.343,2.367,-0.9758,-2.845 to 0.8933
  Interburst Interval: Yan,3.341,1.944,-1.397,-3.266 to 0.4721
  Intraburst Frequency: TB,74.66,42.76,-31.89,-33.75 to -30.04
  Intraburst Frequency: Yan,74.54,30.44,-44.10,-45.95 to -42.24
  Peaks per Burst: TB,28.83,57.93,29.10,27.24 to 30.96
  Peaks per Burst: Yan,28.90,53.85,24.95,23.09 to 26.81
  Total Cycle Time: TB,3.729,3.723,-0.005400,-1.875 to 1.864
  Total Cycle Time: Yan,3.729,3.720,-0.008725,-1.878 to 1.860
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.9705,2.126,P > 0.05,ns
  Burst Duration: Yan,1.389,3.041,P < 0.05,*
  Interburst Interval: TB,-0.9758,2.124,P > 0.05,ns
  Interburst Interval: Yan,-1.397,3.041,P < 0.05,*
  Intraburst Frequency: TB,-31.89,69.86,P<0.001,***
  Intraburst Frequency: Yan,-44.10,96.58,P<0.001,***
  Peaks per Burst: TB,29.10,63.73,P<0.001,***
  Peaks per Burst: Yan,24.95,54.65,P<0.001,***
  Total Cycle Time: TB,-0.005400,0.01175,P > 0.05,ns
  Total Cycle Time: Yan,-0.008725,0.01899,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.5957,0.2098,-1.401 to 1.820
  Burst Duration: Yan,0.3877,2.089,1.701,-0.1564 to 3.559
  Interburst Interval: TB,3.343,1.274,-2.069,-3.687 to -0.4500
  Interburst Interval: Yan,3.341,1.632,-1.709,-3.578 to 0.1605
  Intraburst Frequency: TB,74.66,55.65,-19.01,-20.62 to -17.40
  Intraburst Frequency: Yan,74.54,28.91,-45.63,-47.49 to -43.77
  Peaks per Burst: TB,28.83,32.20,3.372,1.761 to 4.982
  Peaks per Burst: Yan,28.90,60.23,31.33,29.48 to 33.19
  Total Cycle Time: TB,3.729,1.870,-1.859,-3.477 to -0.2399
  Total Cycle Time: Yan,3.729,3.721,-0.007641,-1.877 to 1.861
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2098,0.5300,P > 0.05,ns
  Burst Duration: Yan,1.701,3.726,P<0.01,**
  Interburst Interval: TB,-2.069,5.200,P<0.001,***
  Interburst Interval: Yan,-1.709,3.719,P<0.01,**
  Intraburst Frequency: TB,-19.01,48.03,P<0.001,***
  Intraburst Frequency: Yan,-45.63,99.94,P<0.001,***
  Peaks per Burst: TB,3.372,8.518,P<0.001,***
  Peaks per Burst: Yan,31.33,68.63,P<0.001,***
  Total Cycle Time: TB,-1.859,4.671,P<0.001,***
  Total Cycle Time: Yan,-0.007641,0.01663,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.3226,-0.06335,-1.921 to 1.794
  Burst Duration: Yan,0.3877,0.3442,-0.04344,-1.901 to 1.814
  Interburst Interval: TB,3.343,3.406,0.06328,-1.806 to 1.932
  Interburst Interval: Yan,3.341,3.384,0.04354,-1.826 to 1.913
  Intraburst Frequency: TB,74.66,76.47,1.813,-0.04476 to 3.670
  Intraburst Frequency: Yan,74.54,74.72,0.1817,-1.676 to 2.039
  Peaks per Burst: TB,28.83,24.73,-4.099,-5.956 to -2.241
  Peaks per Burst: Yan,28.90,25.77,-3.136,-4.993 to -1.278
  Total Cycle Time: TB,3.729,3.729,-0.00008702,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.729,0.00008893,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.06335,0.1388,P > 0.05,ns
  Burst Duration: Yan,-0.04344,0.09514,P > 0.05,ns
  Interburst Interval: TB,0.06328,0.1377,P > 0.05,ns
  Interburst Interval: Yan,0.04354,0.09477,P > 0.05,ns
  Intraburst Frequency: TB,1.813,3.970,P<0.001,***
  Intraburst Frequency: Yan,0.1817,0.3979,P > 0.05,ns
  Peaks per Burst: TB,-4.099,8.977,P<0.001,***
  Peaks per Burst: Yan,-3.136,6.868,P<0.001,***
  Total Cycle Time: TB,-0.00008702,0.0001894,P > 0.05,ns
  Total Cycle Time: Yan,0.00008893,0.0001936,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.3720,-0.01393,-1.871 to 1.844
  Burst Duration: Yan,0.3877,0.3965,0.008858,-1.849 to 1.866
  Interburst Interval: TB,3.343,3.357,0.01393,-1.855 to 1.883
  Interburst Interval: Yan,3.341,3.332,-0.008755,-1.878 to 1.860
  Intraburst Frequency: TB,74.66,90.60,15.94,14.09 to 17.80
  Intraburst Frequency: Yan,74.54,85.15,10.61,8.749 to 12.46
  Peaks per Burst: TB,28.83,33.74,4.914,3.056 to 6.771
  Peaks per Burst: Yan,28.90,33.79,4.889,3.031 to 6.746
  Total Cycle Time: TB,3.729,3.729,-0.000006914,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.729,0.00008488,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.01393,0.03051,P > 0.05,ns
  Burst Duration: Yan,0.008858,0.01940,P > 0.05,ns
  Interburst Interval: TB,0.01393,0.03031,P > 0.05,ns
  Interburst Interval: Yan,-0.008755,0.01906,P > 0.05,ns
  Intraburst Frequency: TB,15.94,34.92,P<0.001,***
  Intraburst Frequency: Yan,10.61,23.23,P<0.001,***
  Peaks per Burst: TB,4.914,10.76,P<0.001,***
  Peaks per Burst: Yan,4.889,10.71,P<0.001,***
  Total Cycle Time: TB,-0.000006914,0.00001505,P > 0.05,ns
  Total Cycle Time: Yan,0.00008488,0.0001848,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.4263,0.04034,-1.817 to 1.898
  Burst Duration: Yan,0.3877,0.4546,0.06688,-1.791 to 1.924
  Interburst Interval: TB,3.343,3.302,-0.04039,-1.910 to 1.829
  Interburst Interval: Yan,3.341,3.274,-0.06739,-1.937 to 1.802
  Intraburst Frequency: TB,74.66,97.89,23.23,21.37 to 25.09
  Intraburst Frequency: Yan,74.54,91.92,17.38,15.52 to 19.24
  Peaks per Burst: TB,28.83,41.75,12.93,11.07 to 14.78
  Peaks per Burst: Yan,28.90,41.80,12.90,11.04 to 14.76
  Total Cycle Time: TB,3.729,3.729,-0.00005102,-1.869 to 1.869
  Total Cycle Time: Yan,3.729,3.728,-0.0005360,-1.870 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.04034,0.08835,P > 0.05,ns
  Burst Duration: Yan,0.06688,0.1465,P > 0.05,ns
  Interburst Interval: TB,-0.04039,0.08793,P > 0.05,ns
  Interburst Interval: Yan,-0.06739,0.1467,P > 0.05,ns
  Intraburst Frequency: TB,23.23,50.88,P<0.001,***
  Intraburst Frequency: Yan,17.38,38.06,P<0.001,***
  Peaks per Burst: TB,12.93,28.31,P<0.001,***
  Peaks per Burst: Yan,12.90,28.26,P<0.001,***
  Total Cycle Time: TB,-0.00005102,0.0001111,P > 0.05,ns
  Total Cycle Time: Yan,-0.0005360,0.001167,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.5028,0.1168,-1.741 to 1.974
  Burst Duration: Yan,0.3877,0.6621,0.2744,-1.583 to 2.132
  Interburst Interval: TB,3.343,3.226,-0.1171,-1.986 to 1.752
  Interburst Interval: Yan,3.341,3.064,-0.2772,-2.146 to 1.592
  Intraburst Frequency: TB,74.66,99.97,25.31,23.46 to 27.17
  Intraburst Frequency: Yan,74.54,83.34,8.804,6.947 to 10.66
  Peaks per Burst: TB,28.83,50.23,21.41,19.55 to 23.26
  Peaks per Burst: Yan,28.90,55.12,26.22,24.36 to 28.08
  Total Cycle Time: TB,3.729,3.728,-0.0004520,-1.870 to 1.869
  Total Cycle Time: Yan,3.729,3.725,-0.003136,-1.872 to 1.866
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.1168,0.2559,P > 0.05,ns
  Burst Duration: Yan,0.2744,0.6010,P > 0.05,ns
  Interburst Interval: TB,-0.1171,0.2550,P > 0.05,ns
  Interburst Interval: Yan,-0.2772,0.6034,P > 0.05,ns
  Intraburst Frequency: TB,25.31,55.45,P<0.001,***
  Intraburst Frequency: Yan,8.804,19.28,P<0.001,***
  Peaks per Burst: TB,21.41,46.89,P<0.001,***
  Peaks per Burst: Yan,26.22,57.43,P<0.001,***
  Total Cycle Time: TB,-0.0004520,0.0009840,P > 0.05,ns
  Total Cycle Time: Yan,-0.003136,0.006826,P > 0.05,ns
,,,,
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-60.0 gnaps=1.8,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,0.3859,0.6209,0.2349,-1.623 to 2.092
  Burst Duration: Yan,0.3877,0.9662,0.5785,-1.279 to 2.436
  Interburst Interval: TB,3.343,3.106,-0.2370,-2.106 to 1.632
  Interburst Interval: Yan,3.341,2.755,-0.5857,-2.455 to 1.283
  Intraburst Frequency: TB,74.66,100.9,26.25,24.39 to 28.10
  Intraburst Frequency: Yan,74.54,70.30,-4.240,-6.097 to -2.382
  Peaks per Burst: TB,28.83,62.67,33.84,31.98 to 35.70
  Peaks per Burst: Yan,28.90,67.79,38.89,37.03 to 40.75
