Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Total Cycle Time: Yan,3.728,3.728,0.0003500,-1.869 to 1.869
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.1697,0.3716,P > 0.05,ns
  Burst Duration: Yan,-0.5573,1.221,P > 0.05,ns
  Interburst Interval: TB,0.1687,0.3673,P > 0.05,ns
  Interburst Interval: Yan,0.5578,1.214,P > 0.05,ns
  Intraburst Frequency: TB,40.81,89.39,P<0.001,***
  Intraburst Frequency: Yan,54.17,118.7,P<0.001,***
  Peaks per Burst: TB,7.741,16.95,P<0.001,***
  Peaks per Burst: Yan,3.679,8.058,P<0.001,***
  Total Cycle Time: TB,-0.0009551,0.002079,P > 0.05,ns
  Total Cycle Time: Yan,0.0003500,0.0007618,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,0.5028,-0.09317,-1.951 to 1.764
  Burst Duration: Yan,1.012,0.6621,-0.3498,-2.207 to 1.508
  Interburst Interval: TB,3.134,3.226,0.09200,-1.777 to 1.961
  Interburst Interval: Yan,2.716,3.064,0.3479,-1.521 to 2.217
  Intraburst Frequency: TB,57.08,99.97,42.90,41.04 to 44.75
  Intraburst Frequency: Yan,37.74,83.34,45.60,43.74 to 47.46
  Peaks per Burst: TB,34.01,50.23,16.22,14.36 to 18.08
  Peaks per Burst: Yan,38.12,55.12,17.00,15.14 to 18.86
  Total Cycle Time: TB,3.730,3.728,-0.001356,-1.870 to 1.868
  Total Cycle Time: Yan,3.728,3.725,-0.002250,-1.871 to 1.867
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.09317,0.2041,P > 0.05,ns
  Burst Duration: Yan,-0.3498,0.7662,P > 0.05,ns
  Interburst Interval: TB,0.09200,0.2002,P > 0.05,ns
  Interburst Interval: Yan,0.3479,0.7573,P > 0.05,ns
  Intraburst Frequency: TB,42.90,93.95,P<0.001,***
  Intraburst Frequency: Yan,45.60,99.88,P<0.001,***
  Peaks per Burst: TB,16.22,35.53,P<0.001,***
  Peaks per Burst: Yan,17.00,37.23,P<0.001,***
  Total Cycle Time: TB,-0.001356,0.002952,P > 0.05,ns
  Total Cycle Time: Yan,-0.002250,0.004897,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,,,,
