,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,82.15,0.272,3.846673310876792e-117,0.7860375649175166,True,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,82.13,0.1725,3.972673552942626e-117,0.8633028026693863,True,False
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,82.06,0.01382,4.447338660736342e-117,0.9889939891623365,True,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,0.003066,0.0001552,0.9975582157683511,0.9998763974203029,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,0.001378,0.02392,0.9989025496056191,0.9809517415415733,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,0.01397,0.1234,0.98887453952292,0.901973887475435,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,0.07667,0.2821,0.9389995805429466,0.778298842248936,False,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,0.001688,0.02377,0.9986556633018233,0.9810711685896146,False,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,0.01704,0.1233,0.9864298628214954,0.9020529203157233,False,False
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,0.07974,0.2819,0.9365621281618237,0.7784518715537009,False,False
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,0.01535,0.09952,0.9877756150188053,0.9208730399886313,False,False
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,0.07805,0.2582,0.9379038450190393,0.7966457714801602,False,False
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,0.0627,0.1586,0.9500981352575157,0.8742210369845094,False,False
