,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,30.03,203.6,7.289013719205779e-74,2.208298428157141e-223,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,9.989,189.3,3.9059018952948343e-19,1.9613213219622633e-217,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,8.503,13.63,5.523135726437685e-15,6.566760719157963e-30,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,4.006,22.43,8.872892812874177e-05,3.63860560068842e-55,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,4.774,4.726,3.6091794424256983e-06,4.461359938197147e-06,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,8.255,13.28,2.565780777815757e-14,7.371877706202146e-29,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,11.63,3.759,6.258732558581326e-24,0.00022726890510023487,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,3.957,5.376,0.00010731136146332385,2.2289310917279163e-07,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,49.14,68.82,1.3520498808257745e-109,9.187322758985315e-136,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,78.6,147.7,2.6525507209068185e-146,3.339513176090271e-197,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,32.6,211.5,1.6150040332055753e-79,1.709948168016267e-226,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,8.456,197.6,7.400306466474742e-15,6.136252370821733e-221,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,4.269,6.224,3.1044169275568175e-05,3.056815199565785e-09,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,11.49,16.61,1.626405943889245e-23,8.624974812260732e-39,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,14.28,23.55,7.371259982461543e-32,4.073556260003353e-58,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,16.88,16.32,1.3880124868259029e-39,6.1755464559479e-38,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,3.495,6.407,0.0005905876594878236,1.1507583327178763e-09,False,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,32.43,44.93,3.73750525836612e-79,8.045816470800827e-103,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,54.22,106.6,3.880132368657725e-117,9.315931741066941e-171,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,16.75,154.2,3.34242432620722e-39,1.041358863419203e-200,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,14.55,139.0,1.1445434043420463e-32,2.8943752099855504e-192,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,7.618,25.01,1.2041975916983012e-12,7.348687411186018e-62,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,10.56,32.81,8.752058396106885e-21,5.752470670676791e-80,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,13.34,25.19,4.8704141797809827e-29,2.5864498526350096e-62,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,0.419,12.71,0.6756919286091505,3.76875815090893e-27,False,True
